date,value,,,,
1-Apr-10,24,,,,
1-May-10,24,,,,
1-Jun-10,24,,,,
1-Jul-10,24,,,,
1-Aug-10,24,,,,
1-Sep-10,24,,,,
1-Oct-10,24,,,,
1-Nov-10,24,,,,
1-Dec-10,65,,,,
1-Jan-11,71,,,,
1-Feb-11,71,,,,
1-Mar-11,71,,,,
1-Apr-11,75,,,,
1-May-11,83,,,,
1-Jun-11,159,,,,
1-Jul-11,210,,,,
1-Aug-11,247,,,,
1-Sep-11,260,,,,
1-Oct-11,263,,,,
1-Nov-11,268,,,,
1-Dec-11,271,,,,
1-Jan-12,283,,,,
1-Feb-12,332,,,,
1-Mar-12,348,,,,
1-Apr-12,378,,,,
1-May-12,387,,,,
1-Jun-12,436,,,,
1-Jul-12,443,,,,
1-Aug-12,495,,,,
1-Sep-12,511,,,,
1-Oct-12,517,,,,
1-Nov-12,519,,,,
1-Dec-12,538,,,,
1-Jan-13,545,,,,
1-Feb-13,547,,,,
1-Mar-13,552,,,,
1-Apr-13,559,,,,
1-May-13,564,,,,
1-Jun-13,565,,,,
1-Jul-13,569,,,,
1-Aug-13,580,,,,
1-Sep-13,582,,,,
1-Oct-13,586,,,,
1-Nov-13,589,,,,
1-Dec-13,592,,,,
